scheme_id,status,reason
12b,Trajectory matching unavailable,"No quality-passing treated observations exist before the confirmed installation date, so pre-intervention level, trend, and seasonal similarity cannot be estimated."
12e,Trajectory matching unavailable,"No quality-passing treated observations exist before the confirmed installation date, so pre-intervention level, trend, and seasonal similarity cannot be estimated."
