outcome,outcome_label,lcr_adjusted_change_percent,lcr_lower_95,lcr_upper_95,scheme_adjusted_change_percent,scheme_lower_95,scheme_upper_95,scheme_relative_to_lcr_percent,relative_lower_95,relative_upper_95,relative_p_value,sensor_level_relative_percent,sensor_level_lower_95,sensor_level_upper_95,sensor_level_p_value,treated_countlines,control_countlines,paired_daily_rows,adjusted_r_squared,weather_adjusted
active_travel_total,Active travel,1.03321379014585,-8.35180386539205,11.3792820730784,-32.687267601106,-55.6876332837998,2.25145436315901,-33.3756396795335,-56.6880740834396,2.48459966113306,0.0645843061483156,-31.8101624100792,-60.0369340522806,16.3537841821951,0.132630710709197,7,126,11872,0.892839859800921,TRUE
cyclist,Cyclist,8.38944914533493,-0.983534389351048,18.6496873381193,-25.8985504652865,-38.4523998745,-10.7840953676651,-31.6340749777647,-44.3779930844408,-15.9703152883097,0.000303755346649373,-30.3993319830536,-46.2330105640854,-9.90284114420976,0.0115348979512621,7,126,11872,0.847061865351316,TRUE
pedestrian,Pedestrian,-1.5635621976308,-11.2980537765938,9.23922980015544,-30.5386231893887,-53.7102861555569,4.23228980502626,-29.4353002187372,-53.6096199576557,7.3364100633506,0.103304465115163,-28.6511065946317,-57.2543420991736,19.0919695745796,0.161992035271005,7,126,11872,0.923201427120285,TRUE
