scheme_id,outcome,selected_control,pre_year,post_year,matched_month_days,scheme_pre_index,scheme_post_index,control_pre_index,control_post_index,scheme_change_percent,control_change_percent,scheme_relative_to_control_percent
12d,cyclist,Liverpool 042C | fir ln,2022,2024,38,100,74.1272847165269,100,181.18540023518,-25.8727152834731,81.1854002351795,-59.0876060541802
12d,pedestrian,Liverpool 060C | london rd,2022,2024,46,100,174.575356471158,100,96.2902372728332,74.5753564711576,-3.70976272716678,81.3012008439731
12d + 12f equal-weight,cyclist,Outcome-specific controls listed in selected-controls CSV,2022,2024,,100,70.2497553499248,100,144.304888372499,-29.7502446500752,44.304888372499,-51.3185200153533
12d + 12f equal-weight,pedestrian,Outcome-specific controls listed in selected-controls CSV,2022,2024,,100,125.191498564311,100,133.779641561931,25.1914985643114,33.7796415619313,-6.41961878305982
12f,cyclist,Sefton 011D | liverpool rd,2022,2024,47,100,66.5750559405559,100,114.931450222644,-33.4249440594442,14.9314502226442,-42.0741182578074
12f,pedestrian,Sefton 009A | dover rd,2022,2024,45,100,89.7773410267525,100,185.865078364369,-10.2226589732475,85.8650783643688,-51.6975744896233
13,cyclist,Liverpool 024D | west derby rd,2023,2024,94,100,79.2629982533767,100,97.240056647485,-20.7370017466233,-2.75994335251497,-18.4872973277657
13,pedestrian,Halton 015B | busway,2023,2024,92,100,53.5604562313791,100,91.9103123219176,-46.4395437686209,-8.08968767808243,-41.7253027671339
