outcome,outcome_label,lcr_adjusted_change_percent,lcr_lower_95,lcr_upper_95,scheme_adjusted_change_percent,scheme_lower_95,scheme_upper_95,scheme_relative_to_lcr_percent,relative_lower_95,relative_upper_95,relative_p_value,sensor_level_relative_percent,sensor_level_lower_95,sensor_level_upper_95,sensor_level_p_value,treated_countlines,control_countlines,paired_daily_rows,adjusted_r_squared,weather_adjusted,conclusion
active_travel_total,Active travel,2.46359817014061,-7.03141456872249,12.9283499503471,-31.3424069424613,-54.9418332746604,4.61732971047884,-32.9931855959881,-56.5019164482053,3.22094239456323,0.069366147028602,-31.8101624100792,-60.0369340522806,16.3537841821951,0.132630710709197,7,126,11872,0.887632275155945,FALSE,Scheme trajectory lower than LCR comparison trend
cyclist,Cyclist,12.7093829649053,2.91759138340675,23.4327857616171,-22.2166352330802,-35.5945048486325,-6.06000590098338,-30.9876758076659,-44.0216466725492,-14.9188819012246,0.000516848289153119,-30.3993319830536,-46.2330105640854,-9.90284114420976,0.0115348979512621,7,126,11872,0.837874809369632,FALSE,Scheme trajectory lower than LCR comparison trend
pedestrian,Pedestrian,-2.0353330705008,-11.5993387758842,8.56339572253815,-30.7397177797437,-53.8965483914346,4.04832015523831,-29.3007526171657,-53.5316052739261,7.56523030253427,0.105388415018389,-28.6511065946317,-57.2543420991736,19.0919695745796,0.161992035271005,7,126,11872,0.922029143666775,FALSE,Scheme trajectory lower than LCR comparison trend
