scheme_id,pair_id,outcome,candidate_id,candidate_lsoa21nm,candidate_street,candidate_hardware_names,candidate_countline_ids,candidate_countlines,candidate_local_authority,treated_imd_score,candidate_imd_score,absolute_imd_score_difference,treated_imd_decile,candidate_imd_decile,absolute_imd_decile_difference,treated_routes,candidate_routes,context_gate,common_pre_days,pre_date_coverage,minimum_month_coverage,treated_countline_coverage,candidate_countline_coverage,treated_mean,candidate_mean,level_ratio,treated_window_log_change,candidate_window_log_change,trend_log_change_distance,monthly_percentage_log_rmse,weekday_percentage_log_rmse,weekly_percentage_log_correlation,hard_gate,trajectory_score,total_match_score,rank_within_outcome,trajectory_scale,trajectory_log_definition,road_type_used_for_selection,selected_control
12d,12d | Liverpool 052A,cyclist,Liverpool 042C | fir ln,Liverpool 042C,fir ln,Fir Ln near Prince Alfred Rd,23780;23781,2,Liverpool,26.67,34.15,7.48,3,2,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,85,0.80952380952381,0.642857142857143,0.872941176470588,1,37.4964705882353,38.7470588235294,1.03248578937718,0.386009232690292,0.441570247177605,0.0555610144873137,0.221666953911214,0.200088536223512,0.829861986556392,TRUE,0.138570977661182,0.263370977661182,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
12d,12d | Liverpool 052A,pedestrian,Liverpool 060C | london rd,Liverpool 060C,london rd,"London Rd - Eastbound, near Norton St; London Rd - Westbound, near Norton St",23807;23808,2,Liverpool,26.67,24.01,2.66,3,4,1,Path/cycle facility;Road,Road,TRUE,104,0.990476190476191,0.964285714285714,0.861538461538462,0.990384615384615,100.523717948718,114.879807692308,1.14140626479855,0.0708055542169928,0.190866378458734,0.120060824241741,0.0685203894461587,0.156190247503971,0.360053902190403,TRUE,0.171715451275905,0.248315451275905,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
12f,12f | Wirral 006A,cyclist,Sefton 011D | liverpool rd,Sefton 011D,liverpool rd,Liverpool Rd near Saint Thomas More Dr,22871;26532;40723;40724,4,Sefton,12.143,15.515,3.372,7,6,1,Path/cycle facility;Road,Other / crossing;Path/cycle facility;Road,TRUE,191,1,1,1,0.992146596858639,35.6439790575916,44.9738219895288,1.25460780111445,1.24396582561018,1.02923020711268,0.214735618497504,0.0743962784030928,0.121658836374251,0.947315032559045,TRUE,0.15443711524472,0.23815711524472,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
12f,12f | Wirral 006A,pedestrian,Sefton 009A | dover rd,Sefton 009A,dover rd,Dover Rd near Conyers Ave,40743;40744,2,Sefton,12.143,8.868,3.275,7,8,1,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,187,0.979057591623037,0.923076923076923,1,1,73.4331550802139,82.8770053475935,1.12687693081399,0.976754783013731,1.15323685077847,0.176482067764738,0.0551654965593636,0.133917105504611,0.932767840461828,TRUE,0.115996825541551,0.198746825541551,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
13,13 | Halton 010B,cyclist,Liverpool 024D | west derby rd,Liverpool 024D,west derby rd,"West Derby Rd - Eastbound, near Sheil Rd; West Derby Rd - Westbound, near Sheil Rd",15104;15106;15160;15161;15162,5,Liverpool,64.805,64.417,0.388000000000005,1,1,0,Path/cycle facility;Road,Path/cycle facility;Road,TRUE,156,1,1,0.996794871794872,0.985897435897436,39.213141025641,36.7978632478633,0.939938096946027,-0.72284430120491,-0.503311257910161,0.219533043294749,0.192933822000374,0.297148277052547,0.90308253322055,TRUE,0.152003849461628,0.155883849461628,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
13,13 | Halton 010B,pedestrian,Halton 015B | busway,Halton 015B,busway,"Busway near Palacefields Ave; Busway, near Palacefields Ave",16369;22875,2,Halton,64.805,58.811,5.99400000000001,1,1,0,Path/cycle facility;Road,Other / crossing;Road,TRUE,154,0.987179487179487,0.966666666666667,0.996753246753247,0.948051948051948,57.8100649350649,31.9967532467533,0.561073232671764,0.792953650400586,0.0463838404628457,0.74656980993774,0.703874268151994,0.253617606534463,0.0857532117814777,TRUE,0.622317655570026,0.682257655570026,1,Pre-installation percentage index (mean = 100),log(percentage index / 100),FALSE,TRUE
