matched_date,all_six_scheme_context_pairs_available
2024-08-01,TRUE
2024-08-02,TRUE
2024-08-03,TRUE
2024-08-04,TRUE
2024-08-05,TRUE
2024-08-06,TRUE
2024-08-07,TRUE
2024-08-08,TRUE
2024-08-09,TRUE
2024-08-10,TRUE
2024-08-11,TRUE
2024-08-12,TRUE
2024-08-13,TRUE
2024-08-14,TRUE
2024-08-15,TRUE
2024-08-16,TRUE
2024-08-17,TRUE
2024-08-18,TRUE
2024-08-19,TRUE
2024-08-20,TRUE
2024-08-21,TRUE
2024-08-22,TRUE
2024-08-23,TRUE
2024-08-24,TRUE
2024-08-25,TRUE
2024-08-27,TRUE
2024-08-28,TRUE
2024-08-29,TRUE
2024-08-30,TRUE
2024-08-31,TRUE
2024-09-01,TRUE
2024-09-03,TRUE
2024-09-04,TRUE
2024-09-05,TRUE
2024-09-06,TRUE
2024-09-07,TRUE
2024-09-08,TRUE
2024-09-09,TRUE
2024-09-10,TRUE
2024-09-11,TRUE
2024-09-12,TRUE
2024-09-13,TRUE
2024-09-14,TRUE
2024-09-15,TRUE
2024-09-17,TRUE
2024-09-19,TRUE
2024-09-20,TRUE
2024-09-21,TRUE
2024-09-22,TRUE
2024-09-24,TRUE
2024-09-25,TRUE
2024-09-26,TRUE
2024-09-27,TRUE
2024-09-28,TRUE
2024-09-29,TRUE
2024-09-30,TRUE
2024-10-01,TRUE
2024-10-02,TRUE
2024-10-03,TRUE
2024-10-04,TRUE
2024-10-05,TRUE
2024-10-06,TRUE
2024-10-07,TRUE
2024-10-08,TRUE
2024-10-09,TRUE
2024-10-10,TRUE
2024-10-11,TRUE
2024-10-12,TRUE
2024-10-13,TRUE
2024-10-14,TRUE
2024-10-15,TRUE
2024-10-16,TRUE
2024-10-17,TRUE
2024-10-18,TRUE
2024-10-19,TRUE
2024-10-20,TRUE
2024-10-22,TRUE
2024-10-23,TRUE
2024-10-24,TRUE
2024-10-26,TRUE
2024-10-27,TRUE
2024-10-28,TRUE
2024-10-29,TRUE
2024-10-30,TRUE
2024-10-31,TRUE
2024-11-01,TRUE
2024-11-02,TRUE
2024-11-04,TRUE
2024-11-05,TRUE
2024-11-06,TRUE
2024-11-07,TRUE
2024-11-09,TRUE
2024-11-10,TRUE
2024-11-11,TRUE
2024-11-12,TRUE
2024-11-13,TRUE
2024-11-14,TRUE
2024-11-15,TRUE
2024-11-16,TRUE
2024-11-17,TRUE
2024-11-19,TRUE
2024-11-20,TRUE
2024-11-21,TRUE
2024-11-22,TRUE
2024-11-23,TRUE
2024-11-24,TRUE
2024-11-25,TRUE
2024-11-26,TRUE
2024-11-27,TRUE
2024-11-28,TRUE
2024-11-29,TRUE
2024-11-30,TRUE
2024-12-01,TRUE
2024-12-03,TRUE
2024-12-04,TRUE
2024-12-05,TRUE
2024-12-06,TRUE
2024-12-07,TRUE
2024-12-08,TRUE
2024-12-09,TRUE
2024-12-11,TRUE
2024-12-12,TRUE
2024-12-13,TRUE
2024-12-14,TRUE
2024-12-15,TRUE
2024-12-16,TRUE
2024-12-17,TRUE
2024-12-18,TRUE
2024-12-19,TRUE
2024-12-20,TRUE
2024-12-21,TRUE
2024-12-22,TRUE
2024-12-23,TRUE
2024-12-24,TRUE
2024-12-25,TRUE
2024-12-26,TRUE
2024-12-27,TRUE
2024-12-28,TRUE
2024-12-29,TRUE
2024-12-30,TRUE
2025-01-28,TRUE
2025-01-29,TRUE
2025-01-30,TRUE
2025-01-31,TRUE
2025-02-01,TRUE
2025-02-02,TRUE
2025-02-03,TRUE
2025-02-04,TRUE
2025-02-06,TRUE
2025-02-07,TRUE
2025-02-08,TRUE
2025-02-09,TRUE
2025-02-10,TRUE
2025-02-11,TRUE
2025-02-12,TRUE
2025-02-13,TRUE
2025-02-14,TRUE
2025-02-15,TRUE
2025-02-16,TRUE
2025-02-18,TRUE
2025-02-19,TRUE
2025-02-20,TRUE
2025-02-21,TRUE
2025-02-22,TRUE
2025-02-23,TRUE
2025-02-24,TRUE
2025-02-25,TRUE
2025-02-26,TRUE
2025-02-27,TRUE
2025-03-01,TRUE
2025-03-02,TRUE
2025-03-03,TRUE
2025-03-04,TRUE
2025-03-05,TRUE
2025-03-07,TRUE
2025-03-08,TRUE
2025-03-09,TRUE
2025-03-10,TRUE
2025-03-11,TRUE
2025-03-12,TRUE
2025-03-13,TRUE
2025-03-14,TRUE
2025-03-15,TRUE
2025-03-16,TRUE
2025-03-18,TRUE
2025-03-19,TRUE
2025-03-21,TRUE
2025-03-22,TRUE
2025-03-23,TRUE
2025-03-24,TRUE
2025-03-25,TRUE
2025-03-26,TRUE
2025-03-27,TRUE
2025-03-28,TRUE
2025-03-29,TRUE
2025-03-31,TRUE
2025-04-01,TRUE
2025-04-02,TRUE
2025-04-03,TRUE
2025-04-04,TRUE
2025-04-05,TRUE
2025-04-06,TRUE
2025-04-07,TRUE
2025-04-08,TRUE
2025-04-09,TRUE
2025-04-10,TRUE
2025-04-11,TRUE
2025-04-12,TRUE
2025-04-13,TRUE
2025-04-14,TRUE
2025-04-15,TRUE
2025-04-18,TRUE
2025-04-19,TRUE
2025-04-20,TRUE
2025-04-21,TRUE
2025-04-22,TRUE
2025-04-23,TRUE
2025-04-24,TRUE
